time,count·,v1,v2,V3,v4,v5,v6,v7,v8,,,,,,
71055608,2065,0,0.000187,0,0,0.000187,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
71055608,2068,0,0.000187,0,0,0.000187,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
71192277,2069,-0.000188,0.000187,0,0,-0.000188,0,0.000375,-0.000188,0,0,0,0,0,0
71192277,2073,-0.000188,0.000187,0,-0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
71363132,2074,-0.000188,0.000187,-0.000187,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
71363132,2076,-0.000188,0.000187,-0.000187,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
71465638,2077,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
71499804,2078,-0.000188,0,0,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
71499804,2080,-0.000188,0.000187,0,-0.000188,-0.000188,-0.000188,0,0,0,0,0,0,0,0
71602329,2081,-0.000188,0.000187,0,0,0.000187,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
71602329,2084,0,0,0,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
71738984,2085,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
71738984,2087,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
71841481,2088,0,0,0,-0.000188,0,-0.000188,0.000187,0,0,0,0,0,0,0
71875639,2091,0,0.000187,0,-0.000188,0,-0.000188,0.000187,0,0,0,0,0,0,0
71978155,2092,-0.000188,0,0,0,-0.000188,-0.000375,0.000375,-0.000375,0,0,0,0,0,0
71978155,2095,-0.000188,0,0,0,-0.000188,-0.000375,0.000375,-0.000375,0,0,0,0,0,0
72114858,2096,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
72149011,2097,0,0.000187,0,0.000188,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
72149011,2099,0,0.000187,0,0,0,-0.000375,0,-0.000188,0,0,0,0,0,0
72251501,2100,-0.000188,0,-0.000187,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
72251501,2103,-0.000188,0.000187,0.000188,-0.000188,0,-0.000375,0.000187,0,0,0,0,0,0,0
72388210,2104,-0.000188,0,0,-0.000188,0,-0.000188,0.000187,-0.000375,0,0,0,0,0,0
72388210,2106,-0.000188,0,0,-0.000188,0,-0.000188,0.000187,-0.000375,0,0,0,0,0,0
72490753,2107,0,0,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
72524889,2108,-0.000188,0.000187,0,0,0,0,0.000187,-0.000188,0,0,0,0,0,0
72524889,2110,-0.000188,0.000187,0,-0.000188,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
72627433,2111,-0.000188,0,0,-0.000188,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
72627433,2114,-0.000188,0.000187,-0.000187,0,0,0,0.000187,-0.000188,0,0,0,0,0,0
72764164,2115,0,0.000187,-0.000187,0,0,-0.000188,0.000375,0,0,0,0,0,0,0
72764164,2117,0,0.000187,-0.000187,0,0,-0.000188,0.000375,0,0,0,0,0,0,0
72866662,2118,0.000187,0,-0.000187,0,0.000187,-0.000188,0.000375,-0.000188,0,0,0,0,0,0
72900857,2119,0,0.000187,0,0,0.000187,0,0,-0.000188,0,0,0,0,0,0
72900857,2121,0,0.000187,0,0,0.000187,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
73003365,2122,-0.000188,0,0,0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
73003365,2125,-0.000188,0.000187,0,-0.000188,0,-0.000375,0.000375,0,0,0,0,0,0,0
73140005,2126,-0.000188,0.000187,0,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
73140005,2128,-0.000188,0.000187,0,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
73242555,2129,-0.000188,0.000187,0,-0.000188,0.000187,-0.000375,0.000375,-0.000188,0,0,0,0,0,0
73276766,2132,0,0.000187,0,-0.000188,0,-0.000375,0,0,0,0,0,0,0,0
73379245,2133,0,0,-0.000187,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
73379245,2136,-0.000188,0.000187,-0.000187,0,0.000187,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
73515958,2137,0,0,0,-0.000188,0,-0.000375,0,-0.000188,0,0,0,0,0,0
73515958,2139,0,0.000187,0,0,0,-0.000188,0,-0.000188,0,0,0,0,0,0
73618439,2140,0,0,0,0,0,-0.000188,0,-0.000188,0,0,0,0,0,0
73618439,2143,0,0,0,0,0,-0.000188,0,0,0,0,0,0,0,0
73755092,2144,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
73755092,2146,-0.000188,0.000187,0,0,0,-0.000188,0.000187,0,0,0,0,0,0,0
73857631,2147,-0.000188,0.000187,0,-0.000188,0,-0.000188,0.000187,0,0,0,0,0,0,0
73891810,2150,-0.000188,0,0,-0.000188,-0.000188,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
73994376,2151,0,0.000187,0,0,0,-0.000188,0,-0.000188,0,0,0,0,0,0
73994376,2160,-0.000188,0,0,0,0,-0.000375,0.000187,0,0,0,0,0,0,0
74336038,2161,0,0.000187,0,-0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
74336038,2164,-0.000188,0,0,0.000188,0.000187,-0.000188,0,-0.000188,0,0,0,0,0,0
74472693,2165,-0.000188,0.000187,0,0,0,0,0.000187,-0.000188,0,0,0,0,0,0
74472693,2168,0,0,0,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
74609403,2169,0,0.000187,0,-0.000188,0.000187,0,0.000187,-0.000188,0,0,0,0,0,0
74609403,2171,0,0.000187,0,-0.000188,0.000187,0,0.000187,-0.000188,0,0,0,0,0,0
74711967,2172,-0.000188,0.000187,0.000188,-0.000188,0.000187,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
74746195,2175,-0.000188,0.000187,0,0,0.000187,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
74848729,2176,0,0.000187,0,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
74882895,2177,-0.000188,0,0,-0.000188,0.000187,-0.000188,0,-0.000188,0,0,0,0,0,0
74882895,2179,-0.000188,0,0,-0.000188,0.000187,-0.000188,0,-0.000188,0,0,0,0,0,0
74985351,2180,0,0,0.000188,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
75019526,2184,-0.000188,0,0,-0.000188,0,-0.000188,0.000187,0,0,0,0,0,0,0
75156209,2185,-0.000188,0.000187,0,-0.000188,-0.000188,0,0.000187,-0.000188,0,0,0,0,0,0
75156209,2187,-0.000188,0.000187,0,-0.000188,-0.000188,0,0.000187,-0.000188,0,0,0,0,0,0
75258699,2188,-0.000188,0,0,-0.000188,0.000187,-0.000188,0.000375,-0.000188,0,0,0,0,0,0
75292892,2191,0.000187,0.000187,0.000188,0,0,-0.000375,0.000187,-0.000188,0,0,0,0,0,0
75395427,2192,-0.000188,0,0,-0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
75395427,2195,-0.000188,0.000187,-0.000187,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
75532155,2196,0,0.000187,-0.000187,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
75532155,2198,0,0.000187,-0.000187,0,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
75634670,2199,-0.000188,0,0,-0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
75668830,2202,-0.000188,0,0,-0.000188,0,-0.000188,0,-0.000188,0,0,0,0,0,0
75771417,2203,-0.000188,0.000187,0,-0.000188,0,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
75805616,2213,0,0.000187,0,0,0,-0.000188,0,-0.000188,0,0,0,0,0,0
76147354,2214,0,0,0,-0.000188,0,-0.000188,0,0,0,0,0,0,0,0
76147354,2217,0,0.000187,0.000188,-0.000188,-0.000188,-0.000188,0.000187,-0.000188,0,0,0,0,0,0
76284018,2218,-0.000188,0.000187,0,-0.000188,0,-0.000188,0,-0.000375,0,0,0,0,0,0
